Neighborhood,Born in New York State,Car-free commute (% of commuters),Disabled population,FHAVA-backed home purchase loans (% of home purchase loans),Foreign-born population,Higher-cost home purchase loans (% of home purchase loans),Higher-cost refinance loans (% of refinance loans),"Home purchase loan rate (per 1,000 properties)",Home purchase loans in LMI tracts (% of home purchase loans),Home purchase loans to LMI borrowers (% of home purchase loans),Homeownership rate,Households with children under 18 years old,"Housing choice vouchers (% of occupied, privately owned rental units)",Housing units,Income diversity ratio,"Index of housing price appreciation, 1 family building","Index of housing price appreciation, 2-4 family building","Index of housing price appreciation, 5+ family building","Index of housing price appreciation, all property types","Index of housing price appreciation, condominium",Labor force participation rate,Mean travel time to work (minutes),Median household income (2018$),"Median household income, homeowners (2018$)","Median household income, renters (2018$)","Median rent, 2- and 3-bedrooms (2018$)","Median rent, all (2018$)","Median rent, asking","Median rent, recent movers (2018$)","Median rent, studios and 1-bedrooms (2018$)","Median sales price per unit, 1 family building (2018$)","Median sales price per unit, 2-4 family building (2018$)","Median sales price per unit, 5+ family building (2018$)","Median sales price per unit, condominium (2018$)",Moderately rent-burdened households,"Moderately rent-burdened households, low income","Moderately rent-burdened households, moderate income","Notices of foreclosure rate (per 1,000 1-4 family and condo properties)","Notices of foreclosure, all residential properties","Notices of foreclosure, initial, 1-4 family and condo properties","Notices of foreclosure, repeat, 1-4 family and condo properties",Percent Asian,Percent Hispanic,Percent black,Percent white,Population,Population aged 25+ without a high school diploma,Population aged 65+,"Population density (1,000 persons per square mile)",Poverty rate,"Poverty rate, population aged 65+","Poverty rate, population under 18 years old","Pre-foreclosure notice rate (per 1,000 1-4 family and condo properties)","Pre-foreclosure notices, 1-4 family and condo properties",Private eviction filings,Private eviction filings per 1000 private rental units,"Properties entering REO, 1-4 family",Public housing (% of rental units),Racial diversity index,"Refinance loan rate (per 1,000 properties)",Rental units affordable at  30% AMI (% of recently available units),Rental units affordable at  80% AMI (% of recently available units),Rental units affordable at 120% AMI (% of recently available units),Rental vacancy rate,Residential units within 12 mile of a subway station,Residential units within 14 mile of a park,"Sales volume, 1 family building","Sales volume, 2-4 family building","Sales volume, 5+ family building","Sales volume, all property types","Sales volume, condominium","Serious crime rate (per 1,000 residents)","Serious crime rate, property (per 1,000 residents)","Serious crime rate, violent (per 1,000 residents)","Serious housing code violations (per 1,000 privately owned rental units)",Severe crowding rate (% of renter households),Severely rent-burdened households,"Severely rent-burdened households, low income","Severely rent-burdened households, moderate income",Single-person households,"Students performing at grade level in English language arts, 4th grade","Students performing at grade level in math, 4th grade","Total housing code violations (per 1,000 privately owned rental units)",Unemployment rate,Units authorized by new residential building permits,Units issued new certificates of occupancy
Stuyvesant Town/Turtle Bay,41.3,89.9,1.7000000000000002,0.0,22.6,0.4,0.30000000000000004,22.5,1.5,5.0,34.8,9.9,1.6,95922,5.9,145.4,357.9,745.6,271.3,282.1,72.5,26.2,114530,137030,109470,2570,2490,3300,2780,2340,5095360,1931990,577500,1328870,23.3,16.9,46.3,1.9,28,13,13,14.9,9.9,4.0,68.5,149674,3.9,17.8,92.3,8.0,4.9,4.7,12.4,174,1144,20.8,0,0.9,0.5,7.6,3.8,13.7,34.6,7.6,95.0,90.9,7,6,16,736,707,11.2,9.2,2.0,9.2,3.1,20.6,64.8,22.7,51.3,77.8,68.7,50.8,3.88,229,429
Upper West Side,47.6,85.5,6.5,0.0,17.6,0.4,0.2,17.1,0.1,1.7000000000000002,40.2,20.8,2.3,117342,9.2,142.2,356.4,404.7,318.0,267.0,67.6,33.2,126260,189350,105370,1720,1950,3200,2460,2040,13247930,2628350,554120,1738840,15.0,27.2,42.2,1.3,28,12,14,8.7,13.1,5.7,69.1,207134,3.5,20.1,69.9,9.9,11.7,8.2,7.8,159,2025,32.5,0,8.8,0.49,8.9,6.8,26.9,42.1,4.7,99.1,99.3,7,12,45,904,840,9.3,7.4,1.9,24.1,2.3,20.1,44.7,17.2,42.6,72.0,73.5,142.7,4.76,1030,401
Upper East Side,48.0,83.2,3.0,0.0,22.9,0.2,0.30000000000000004,17.1,0.2,0.0,36.9,17.5,1.3,133677,5.2,214.5,305.6,358.9,249.2,330.0,72.0,29.8,133850,213620,108010,2440,2380,2780,2250,2110,7362790,3834260,733730,1706940,20.0,27.5,50.8,2.2,44,24,19,10.7,10.8,1.4,74.6,214219,2.0,19.2,107.8,6.1,4.1,5.4,10.6,206,1914,27.4,0,3.2,0.42,7.8,1.9,12.3,51.5,5.5,96.5,68.6,20,10,46,941,865,8.8,7.6,1.2,14.8,2.2,19.7,59.4,11.8,44.4,80.2,78.0,80.7,2.1,178,506
Morningside Heights/Hamilton,42.4,88.9,5.9,0.0,31.3,0.4,0.0,18.4,3.6,40.8,16.2,21.1,7.1,55967,8.2,NaN,614.1,832.3,636.6,248.4,63.1,37.5,51000,126720,41290,1300,1280,2600,1740,1260,3311980,942640,240850,687870,24.5,27.8,32.1,6.4,14,4,6,10.2,36.5,22.4,28.5,136017,18.9,13.1,80.7,22.7,19.4,38.6,30.8,48,2746,82.8,0,10.8,0.73,8.4,6.1,39.0,74.0,4.1,100.0,100.0,6,20,24,104,54,11.4,7.2,4.3,106.7,3.3,29.7,47.6,3.8,35.0,38.4,34.6,532.5,5.75,39,82
Central Harlem,53.3,85.6,8.7,0.0,25.2,0.0,2.2,21.0,2.8,50.0,14.9,26.4,6.5,68377,9.3,670.6,459.1,825.6,605.0,514.0,65.7,36.9,49990,135140,42820,1010,1070,2350,1660,980,2191000,653900,223110,933750,24.7,30.8,27.0,4.9,38,16,13,4.1,24.7,53.0,14.9,147442,17.8,11.4,103.1,23.5,26.3,35.1,46.1,272,6020,150.0,0,16.6,0.63,11.4,19.3,44.7,82.2,4.1,100.0,96.7,8,29,42,363,284,16.8,8.5,8.3,73.0,2.0,24.8,35.3,0.6000000000000001,38.9,22.5,14.2,393.2,8.23,477,113
East Harlem,57.0,86.7,13.6,0.0,25.5,0.0,0.0,9.5,1.1,69.2,8.6,25.0,10.0,56576,6.5,NaN,388.8,474.5,431.9,554.0,57.2,39.0,37470,87630,32300,870,910,2400,1580,930,2662320,671570,194830,657300,28.4,30.9,20.7,2.2,8,3,2,8.3,51.9,26.4,11.9,128316,28.6,12.8,55.3,31.5,33.8,46.5,25.6,58,3650,116.0,0,35.7,0.64,5.7,17.9,50.0,77.2,3.0,97.5,100.0,2,16,26,149,105,16.1,8.2,7.9,73.4,3.6,23.2,29.4,7.3,44.9,35.2,33.2,374.2,8.89,864,357
Washington Heights/Inwood,37.0,87.7,8.3,0.0,44.0,0.0,1.0,22.3,6.7,59.2,8.9,23.4,7.3,81621,5.7,1301.4,2195.5,733.0,630.3,357.2,68.6,42.4,57460,114000,52770,1310,1300,2090,1640,1220,1589750,356670,279690,555270,26.3,29.9,15.4,6.7,11,6,3,2.4,66.9,8.3,20.2,219998,29.2,14.9,75.1,18.7,25.1,28.9,32.7,44,7117,121.1,0,3.6,0.5,8.4,9.8,44.7,91.3,1.7000000000000002,100.0,98.4,1,5,38,112,68,10.6,6.4,4.2,116.0,5.6,30.1,46.5,1.2,31.0,28.3,27.8,572.4,8.69,104,35
Astoria,46.2,81.6,4.6,1.1,36.8,1.1,3.1,15.2,3.6,26.9,18.2,20.0,0.5,83253,4.8,384.2,378.9,583.6,394.7,496.3,71.1,42.0,67650,83990,64760,1690,1670,2200,1860,1460,891690,506220,307840,552850,24.1,31.7,33.6,4.9,82,27,50,16.7,24.3,8.2,47.5,164321,11.7,12.5,31.9,13.0,14.9,17.5,22.2,351,1445,24.5,0,10.3,0.68,8.7,2.9,25.0,85.1,2.3,72.9,63.3,41,176,35,370,118,8.1,5.2,2.9,12.2,2.7,23.9,45.6,0.1,35.7,46.1,44.7,69.1,4.61,420,1110
Woodside/Sunnyside,34.1,74.7,3.1,0.4,53.7,1.8,0.7000000000000001,23.4,7.8,25.8,29.5,21.3,0.6000000000000001,61715,4.4,356.8,342.8,485.0,351.8,391.2,69.9,36.5,68640,91140,62810,1740,1640,2420,1880,1450,774490,473870,266770,866450,29.9,38.2,17.2,5.0,53,20,30,36.3,30.9,1.2,29.5,133822,13.6,13.8,22.3,9.3,11.5,10.8,22.3,222,1181,28.1,2,0.0,0.68,6.6,0.7000000000000001,25.8,71.2,3.2,89.3,78.9,36,75,14,393,268,8.6,6.4,2.2,11.8,5.1,24.4,46.0,2.6,32.8,53.7,52.8,75.0,2.98,587,2817
Jackson Heights,32.7,75.2,7.1,5.5,60.1,6.5,2.8,22.5,12.0,62.5,38.1,37.3,1.2,59398,3.4,320.6,278.4,280.4,300.7,368.0,65.5,44.4,57680,82210,49330,1660,1530,1850,1500,1300,703160,417820,230230,437690,30.2,31.4,15.9,13.5,192,70,116,18.7,62.5,5.1,12.3,170222,25.0,13.1,40.7,13.5,13.4,20.5,64.0,885,1830,67.6,1,0.0,0.56,8.4,5.4,56.8,96.9,1.9,59.5,61.5,101,215,14,402,72,10.6,6.4,4.2,23.8,10.4,35.2,54.8,0.0,25.4,34.4,32.7,138.4,4.19,76,66
Elmhurst/Corona,30.9,77.4,7.3,3.6,63.9,9.2,5.9,12.4,21.9,75.9,22.5,34.6,1.5,47582,4.0,324.5,277.3,314.6,305.6,458.6,70.1,42.8,52980,63420,51570,1690,1490,1850,1580,1270,737810,402530,219460,433110,26.7,32.3,11.0,6.0,76,20,51,32.7,55.8,5.0,5.5,146301,27.7,11.6,40.6,15.6,16.6,19.4,30.7,363,2821,82.2,2,0.0,0.58,5.4,6.0,52.6,97.9,1.4,72.2,68.3,34,139,19,261,69,7.5,4.4,3.1,19.2,11.2,35.9,51.8,0.2,19.8,33.7,36.8,112.3,4.26,255,136
Ridgewood/Maspeth,52.9,63.4,4.8,8.2,38.8,6.1,1.0,17.3,4.1,8.4,39.7,34.2,1.5,68927,4.3,289.8,321.9,533.9,321.6,398.3,66.4,42.5,72590,91380,64220,1450,1490,2300,1590,1230,703160,395740,246280,463680,25.4,32.3,9.9,4.7,133,54,71,8.9,38.4,0.9,50.1,199043,15.4,11.7,27.2,8.4,9.1,9.5,36.5,971,1141,29.3,5,0.0,0.59,14.1,3.4,61.7,94.8,3.4,39.7,54.4,237,313,37,613,26,7.5,5.5,2.0,17.7,2.2,26.0,49.5,0.8,20.1,49.2,48.6,100.0,4.83,253,171
Rego Park/Forest Hills,43.7,73.0,4.8,0.2,47.5,0.30000000000000004,0.9,26.0,7.9,6.4,45.2,22.4,1.4,56172,5.3,290.7,292.4,NaN,287.2,365.5,65.0,43.7,76890,89320,67430,1830,1680,2000,1800,1430,980350,498840,286610,520130,21.0,32.2,36.0,3.2,39,17,22,29.5,15.4,3.4,47.5,118922,8.3,19.7,42.4,8.1,12.4,9.2,15.5,186,1021,53.2,0,0.0,0.66,6.4,0.0,27.1,84.4,2.8,80.1,73.5,147,47,5,322,123,5.5,4.6,0.9,11.9,4.2,29.3,58.6,2.2,39.5,57.9,59.7,82.7,3.0,9,95
Flushing/Whitestone,38.3,52.1,4.1,0.4,58.7,12.9,5.8,19.7,8.4,35.5,45.8,26.9,0.5,98576,6.0,283.5,289.5,375.8,292.4,272.9,57.0,41.5,52260,73350,38300,1670,1510,2060,1520,1290,876400,501890,266560,745030,23.8,31.7,19.1,3.7,151,55,94,54.5,18.4,2.1,23.3,260282,24.8,19.6,22.1,16.2,23.3,17.1,21.7,875,1726,46.5,3,2.5,0.61,6.3,6.0,57.2,97.2,4.1,32.1,70.7,470,269,15,1830,1076,7.1,5.3,1.8,13.6,4.7,39.9,54.2,0.0,25.7,59.9,64.9,93.6,2.56,602,265
Hillcrest/Fresh Meadows,46.7,52.7,5.7,2.0,44.9,7.0,3.2,19.3,12.6,6.8,48.6,28.7,0.7000000000000001,58537,4.5,254.5,257.5,NaN,259.6,301.6,63.3,44.8,65230,85040,53250,1650,1500,1800,1580,1350,830540,433080,636920,434060,32.1,30.6,13.0,4.4,87,42,45,34.4,19.8,12.1,29.2,164291,13.7,14.9,22.0,12.3,9.0,16.3,41.4,818,2131,106.0,2,9.4,0.74,8.4,3.8,53.5,95.0,2.6,28.1,71.0,317,96,1,516,102,7.1,5.1,2.0,19.2,3.5,30.7,57.2,0.6000000000000001,30.1,51.9,49.1,113.5,5.77,133,70
Kew Gardens/Woodhaven,39.6,64.5,6.4,15.8,53.6,5.7,2.2,25.1,10.3,23.4,45.9,32.6,3.7,49386,4.2,257.5,257.8,467.9,259.9,359.7,66.3,47.5,71250,84910,59780,1580,1510,1850,1580,1330,540110,331200,189260,422910,27.7,32.7,12.6,14.4,279,115,147,25.6,42.9,5.4,17.7,152283,19.8,12.9,32.1,12.2,14.2,14.9,65.2,1190,1546,69.6,13,0.0,0.72,13.6,0.9,61.6,98.4,3.2,90.8,46.8,227,246,5,509,31,6.3,4.0,2.3,25.7,3.4,31.1,53.2,0.0,21.6,44.3,46.0,132.8,5.94,97,9
South Ozone Park/Howard Beach,52.4,45.8,8.4,26.7,42.7,7.6,2.6,25.3,9.6,24.8,64.4,35.5,2.6,41104,4.1,231.2,231.4,294.8,231.2,290.7,60.0,45.8,75300,84580,55120,1560,1590,1830,1560,1230,519320,305720,136850,290440,20.0,29.9,12.8,14.1,333,147,183,26.7,26.0,13.3,21.8,139323,22.5,14.0,22.7,10.4,13.1,12.6,74.5,1746,717,57.2,17,1.3,0.8,14.6,NaN,NaN,NaN,1.9,39.4,39.8,385,235,1,684,63,10.3,6.6,3.7,25.9,3.4,34.9,54.7,0.0,13.6,50.9,48.4,108.9,5.4,40,20
Bayside/Little Neck,51.3,39.4,4.5,0.2,44.6,6.5,5.3,24.3,11.9,0.1,73.0,24.6,0.0,44245,4.5,256.5,267.2,NaN,261.4,220.1,60.3,43.7,71490,79220,55810,1810,1840,2050,1690,1460,884550,508010,0,585970,27.4,36.6,26.5,4.9,127,58,68,46.0,12.4,2.5,37.5,118670,15.1,22.7,12.8,9.8,10.5,10.1,28.0,714,323,32.5,2,0.0,0.63,7.9,NaN,NaN,NaN,2.4,20.5,68.7,461,126,0,656,69,6.3,5.5,0.9,6.5,1.8,28.1,51.3,4.0,28.5,72.9,77.8,36.0,4.86,88,59
Jamaica/Hollis,47.1,52.5,7.7,57.7,45.5,12.1,1.5,20.0,7.3,26.3,49.4,35.0,3.8,78537,4.3,208.8,224.1,412.5,212.8,278.4,64.9,48.9,62850,92770,42820,1390,1330,2000,1370,1120,433110,296800,194150,244580,28.1,32.4,11.7,30.2,1109,443,651,14.6,16.7,59.2,1.4,249331,19.5,13.4,26.8,11.3,11.3,17.3,142.8,5170,4097,140.6,77,8.5,0.6,15.7,5.6,75.0,99.6,2.9,40.7,58.7,677,350,8,1048,13,12.4,6.4,5.9,43.1,5.4,31.3,46.9,0.0,23.7,34.0,25.9,222.5,7.35,1237,79
Queens Village,49.8,36.6,4.8,38.4,43.0,9.3,1.8,23.3,6.1,2.5,72.5,36.6,2.0,62184,4.2,234.9,227.5,NaN,233.5,222.8,64.1,47.4,87490,97990,62300,1660,1630,1900,1740,1260,504440,321010,222920,387250,19.3,32.8,19.5,18.5,764,293,457,15.7,14.7,53.9,9.6,208786,11.6,17.0,10.6,8.9,10.5,10.4,115.5,4686,1240,97.5,42,8.2,0.65,15.4,NaN,NaN,NaN,2.8,9.1,38.4,747,233,2,986,4,8.8,5.5,3.2,30.1,1.7000000000000002,30.5,52.9,1.8,20.4,47.9,40.7,132.9,7.46,36,34
Rockaway/Broad Channel,68.2,45.2,11.8,30.1,22.4,7.5,1.9,16.6,5.5,37.4,34.1,36.3,17.5,47651,6.0,202.4,215.1,238.0,205.0,224.1,56.2,51.4,55040,107250,40020,1240,1200,1800,1270,1000,529920,270050,46780,326100,24.9,31.7,10.8,20.2,270,90,178,3.8,20.6,39.2,33.1,133051,19.0,14.6,11.8,19.8,14.4,25.9,82.7,1097,3856,172.2,20,15.1,0.6900000000000001,10.3,NaN,NaN,NaN,3.1,67.8,81.6,125,164,11,338,38,10.8,5.4,5.4,32.5,3.0,28.8,41.0,0.9,31.7,29.2,26.7,218.9,10.01,347,331
St. George/Stapleton,64.8,40.6,9.0,17.8,25.4,5.0,2.1,29.8,17.9,22.8,56.4,34.1,10.5,69909,6.9,225.7,228.0,487.0,228.9,197.6,57.1,43.8,64070,94200,29000,1450,1220,1950,1350,1020,441000,244350,141140,305210,22.8,27.6,5.5,15.7,573,234,337,8.8,31.1,19.9,38.5,176632,15.2,13.1,12.6,17.9,13.2,26.2,79.5,2891,2591,110.9,52,11.9,0.71,16.2,6.1,77.1,99.1,8.2,12.7,65.5,902,404,9,1471,156,8.9,4.9,4.0,45.9,3.4,35.6,49.9,0.0,24.1,36.3,32.5,229.6,3.9,192,216
South Beach/Willowbrook,65.5,32.1,5.3,5.7,30.1,4.5,1.1,32.5,14.8,2.0,71.1,37.9,0.5,51897,5.0,225.9,228.0,NaN,233.0,255.0,59.7,45.9,83040,102140,52200,1500,1440,1950,1180,1060,529920,346480,157960,315910,22.2,31.4,15.8,8.8,319,117,200,15.5,12.5,5.9,64.1,143766,11.6,16.0,6.1,10.2,12.0,14.9,53.6,1924,397,34.5,24,10.9,0.55,15.3,NaN,NaN,NaN,3.8,24.3,56.9,943,313,4,1589,329,5.0,3.8,1.2,8.3,3.1,30.2,46.4,0.0,21.1,47.6,45.0,41.4,4.77,239,205
Tottenville/Great Kills,78.5,26.5,6.8,12.6,16.5,2.8,1.4,33.4,9.2,0.0,82.9,35.3,2.1,58766,5.4,219.5,203.0,NaN,219.2,255.7,61.2,47.9,98640,109300,49420,1600,1410,1750,1380,1130,519730,366870,127380,332220,26.2,32.0,14.8,10.1,471,166,304,4.8,10.2,1.4,82.5,159060,8.0,18.6,7.7,6.6,10.3,6.9,60.0,2783,490,35.1,24,0.0,0.31,18.2,NaN,NaN,NaN,5.8,28.4,57.9,1395,485,1,2007,126,3.1,2.4,0.8,4.8,1.7000000000000002,29.9,50.2,2.5,19.2,59.3,58.6,25.3,4.37,245,256
